model,checkpoint,dataset,samples,normalized_wer,normalized_cer,wer_delta_vs_A0,cer_delta_vs_A0,wer_delta_vs_A2,cer_delta_vs_A2,wer_delta_vs_A3,cer_delta_vs_A3,wer_delta_vs_A4,cer_delta_vs_A4
A3,step-150,cv_spontaneous,11,0.2360248447204969,0.1602972399150743,-0.0248447204968944,-0.040339702760084944,0.0,-0.036093418259023374,0.0,0.0,0.006211180124223614,0.0010615711252653925
A3,step-150,tsc_exploratory,3484,0.1588688003909113,0.06485949247366987,-0.004092352797459092,0.0019503801905494805,-0.01520889323234792,-0.0020251892937486193,-0.003909113119960922,-0.004648851413090516,-0.007024187637429763,-0.007368696665117039
A3,step-200,mediaspeech_clean,493,0.1475432622141914,0.08915544018260753,-0.015011467092918201,-0.006758268809022958,0.009312669400236284,0.012364051380745644,0.005003822364306076,0.005404377209864392,0.00389186183890472,0.004800161124289493
A3,step-200,mediaspeech_phone,493,0.16019181319063172,0.09750257351295707,-0.015497949822781298,-0.013841024034373192,-0.010633122524150412,-0.007798863178624188,0.0028493988463409448,0.0028644318130958274,0.0018069358537771696,0.001476972653627534
A3,step-200,mediaspeech_g711,493,0.15219959691430954,0.09325068254039297,0.0064632705538953394,0.009633889808888699,0.013274028771978585,0.01612361813543392,0.005073319897143658,0.00593026898804995,0.008339703940510118,0.008559727878977755
A3,step-200,cv_scripted,9650,0.2193432942650085,0.10020790760716436,0.06373803346157289,0.044316055153350395,0.06565267960991322,0.040641340099475336,-0.01597924308848528,-0.003906053047581487,-0.00554710566341593,0.0008571369253994321
A3,step-200,fleurs,743,0.07482468983586345,0.02535446205170976,-0.028049626261847885,0.002835696413678066,-0.10210372196963859,-0.02093411175979983,0.004777683594051008,0.0042654593113308735,0.004469445942821906,0.00415822709400691
A3,step-200,cv_spontaneous,11,0.2360248447204969,0.1602972399150743,-0.0248447204968944,-0.040339702760084944,0.0,-0.036093418259023374,0.0,0.0,0.006211180124223614,0.0010615711252653925
A3,step-200,tsc_exploratory,3484,0.16140361592963595,0.06707704803278776,-0.0015575372587344483,0.0041679357496673675,-0.012674077693623276,0.0001923662653692676,-0.0013742975812362779,-0.0024312958539726287,-0.004489372098705119,-0.005151141105999152
A4,step-050,mediaspeech_clean,493,0.14365140037528668,0.08435527905831804,-0.01890332893182292,-0.01155842993331245,0.005420807561331564,0.007563890256456152,0.0011119605254013565,0.000604216085574899,0.0,0.0
A4,step-050,mediaspeech_phone,493,0.15838487733685455,0.09602560085932954,-0.017304885676558468,-0.015317996688000726,-0.012440058377927582,-0.009275835832251722,0.0010424629925637752,0.0013874591594682933,0.0,0.0
A4,step-050,mediaspeech_g711,493,0.14385989297379942,0.08469095466141521,-0.0018764333866147787,0.001074161929910944,0.004934324831468467,0.0075638902564561655,-0.0032663840433664604,-0.002629458890927805,0.0,0.0
A4,step-050,cv_scripted,9650,0.22489039992842444,0.09935077068176493,0.06928513912498882,0.04345891822795096,0.07119978527332915,0.039784203174075904,-0.010432137425069349,-0.004763189972980919,0.0,0.0
A4,step-050,fleurs,743,0.07035524389304154,0.02119623495770285,-0.03251907220466979,-0.0013225306803288442,-0.10657316791246049,-0.02509233885380674,0.0003082376512291013,0.00010723221732396315,0.0,0.0
A4,step-050,cv_spontaneous,11,0.22981366459627328,0.1592356687898089,-0.031055900621118016,-0.04140127388535034,-0.006211180124223614,-0.03715498938428877,-0.006211180124223614,-0.0010615711252653925,0.0,0.0
A4,step-050,tsc_exploratory,3484,0.16589298802834107,0.07222818913878691,0.0029318348399706706,0.00931907685566652,-0.008184705594918157,0.0053435073713684195,0.003115074517468841,0.002719845252026523,0.0,0.0
A4,step-100,mediaspeech_clean,493,0.1386475780109806,0.07959987468110817,-0.023907151296128998,-0.016313834310522315,0.00041698519702548786,0.0028084858792462863,-0.00389186183890472,-0.004151188291634966,-0.005003822364306076,-0.004755404377209865
A4,step-100,mediaspeech_phone,493,0.15852387240252971,0.09546614152083427,-0.017165890610883305,-0.015877456026495998,-0.01230106331225242,-0.009835295170746994,0.0011814580582389378,0.0008279998209730216,0.00013899506567516262,-0.0005594593384952717
A4,step-100,mediaspeech_g711,493,0.1427479324483981,0.08343776574318579,-0.0029883939120161074,-0.0001790269883184814,0.0038223643060671386,0.00631070133822674,-0.004378344568767789,-0.0038826478091572303,-0.0011119605254013287,-0.0012531889182294254
A4,step-100,cv_scripted,9650,0.22338731323253108,0.09900969543463367,0.06778205242909546,0.04311784298081971,0.0696966985774358,0.03944312792694465,-0.011935224120962706,-0.005104265220112175,-0.0015030866958933575,-0.00034107524713125614
A4,step-100,fleurs,743,0.06981582800339062,0.021053258667937568,-0.033058488094320715,-0.001465506970094125,-0.10711258380211142,-0.02523531514357202,-0.0002311782384218225,-3.574407244131758e-05,-0.0005394158896509238,-0.00014297628976528073
A4,step-100,cv_spontaneous,11,0.22981366459627328,0.1592356687898089,-0.031055900621118016,-0.04140127388535034,-0.006211180124223614,-0.03715498938428877,-0.006211180124223614,-0.0010615711252653925,0.0,0.0
A4,step-100,tsc_exploratory,3484,0.16076227705839238,0.06685262072319029,-0.002198876129978017,0.0039435084400698955,-0.013315416564866844,-3.206104422820433e-05,-0.0020156364524798465,-0.0026557231635701006,-0.0051307109699486875,-0.005375568415596624
A4,step-150,mediaspeech_clean,493,0.13857808047814302,0.07927538826478092,-0.02397664882896658,-0.016638320726849565,0.00034748766418790655,0.002483999462919037,-0.003961359371742301,-0.0044756747079622156,-0.005073319897143658,-0.005079890793537115
A4,step-150,mediaspeech_phone,493,0.15873236500104246,0.09543257396052456,-0.01695739801237056,-0.01591102358680571,-0.012092570713739675,-0.009868862731056707,0.0013899506567516817,0.0007944322606633081,0.00034748766418790655,-0.0005930268988049853
A4,step-150,mediaspeech_g711,493,0.1412884842588088,0.08201673902340778,-0.004447842101605398,-0.0016000537080964883,0.002362916116477848,0.004889674618448733,-0.00583779275835708,-0.005303674528935237,-0.0025714087149906195,-0.0026742156380074322
A4,step-150,cv_scripted,9650,0.2415675046971459,0.10748912266548823,0.0859622438937103,0.05159727021167426,0.08787689004205063,0.0479225551577992,0.006244967343652125,0.00337516201074238,0.016677104768721474,0.0081383519837233
A4,step-150,fleurs,743,0.06966170917777606,0.021089002740378886,-0.03321260691993527,-0.0014297628976528073,-0.10726670262772597,-0.025199571071130702,-0.0003852970640363801,0.0,-0.0006935347152654814,-0.00010723221732396315
A4,step-150,cv_spontaneous,11,0.2360248447204969,0.1624203821656051,-0.0248447204968944,-0.03821656050955416,0.0,-0.03397027600849259,0.0,0.002123142250530785,0.006211180124223614,0.0031847133757961776
A4,step-150,tsc_exploratory,3484,0.16271683361837283,0.06933735165087661,-0.00024431956999756976,0.006428239367756217,-0.011360860004886397,0.0024526698834581168,-6.107989249939938e-05,-0.00017099223588377954,-0.0031761544099682404,-0.0028908374879103027
A4,step-200,mediaspeech_clean,493,0.1386475780109806,0.07940965850601978,-0.023907151296128998,-0.01650405048561071,0.00041698519702548786,0.002618269704157891,-0.00389186183890472,-0.0043414044667233614,-0.005003822364306076,-0.0049456205522982605
A4,step-200,mediaspeech_phone,493,0.1590798526652304,0.09588014143132077,-0.016609910348182627,-0.015463456116009494,-0.011745083049551741,-0.00942129526026049,0.001737438320939616,0.0012419997314595255,0.0006949753283758409,-0.00014545942800876788
A4,step-200,mediaspeech_g711,493,0.1400375286677323,0.08087544197287741,-0.0056987976926818895,-0.0027413507586268593,0.0011119605254013565,0.0037483775679183623,-0.007088748349433571,-0.006444971579465608,-0.003822364306067111,-0.0038155126885378032
A4,step-200,cv_scripted,9650,0.2320658495123915,0.10509269832042685,0.07646058870895589,0.049200845866612886,0.07837523485729622,0.045526130812737826,-0.0032566878411022793,0.0009787376656810037,0.0071754495839670696,0.005741927638661923
A4,step-200,fleurs,743,0.06973876859058334,0.02110091743119266,-0.033135547507127994,-0.0014178482068390313,-0.1071896432149187,-0.025187656380316926,-0.0003082376512291013,1.1914690813775997e-05,-0.0006164753024582026,-9.531752651018716e-05
A4,step-200,cv_spontaneous,11,0.2360248447204969,0.1624203821656051,-0.0248447204968944,-0.03821656050955416,0.0,-0.03397027600849259,0.0,0.002123142250530785,0.006211180124223614,0.0031847133757961776
A4,step-200,tsc_exploratory,3484,0.16305277302711949,0.06970605365950103,9.161983874908519e-05,0.006796941376380636,-0.011024920596139742,0.002821371892082536,0.0002748595162472556,0.0001977097727406396,-0.0028402150012215854,-0.0025221354792858836
A5,step-050,mediaspeech_clean,493,0.14038501633192021,0.08170344179385042,-0.022169712975189382,-0.014210267197780069,0.002154423517965104,0.004912052991988533,-0.002154423517965104,-0.0020476211788927196,-0.0032663840433664604,-0.0026518372644676186
A5,step-050,mediaspeech_phone,493,0.1607477934533324,0.0981627355323815,-0.01494196956008062,-0.013180862014948766,-0.010077142261449734,-0.007138701159199762,0.003405379109041623,0.0035245938325202536,0.002362916116477848,0.0021371346730519603
A5,step-050,mediaspeech_g711,493,0.14858572520675517,0.08884214295305017,0.0028493988463409725,0.005225350221545896,0.009660157064424219,0.011715078548091118,0.0014594481895892908,0.0015217294007071475,0.004725832232955751,0.004151188291634952
A5,step-050,cv_scripted,9650,0.22514091437774,0.10087819461457014,0.06953565357430438,0.04498634216075617,0.07145029972264472,0.04131162710688111,-0.010181622975753785,-0.003235766040175711,0.0002505144493155642,0.001527423932805208
A5,step-050,fleurs,743,0.07020112506742698,0.021243893720957942,-0.03267319103028435,-0.0012748719170737506,-0.10672728673807505,-0.025044680090551646,0.0001541188256145437,0.00015489098057905673,-0.00015411882561455759,4.765876325509358e-05
A5,step-050,cv_spontaneous,11,0.2111801242236025,0.15711252653927812,-0.0496894409937888,-0.04352441613588112,-0.0248447204968944,-0.03927813163481955,-0.0248447204968944,-0.0031847133757961776,-0.018633540372670787,-0.002123142250530785
A5,step-050,tsc_exploratory,3484,0.16549596872709504,0.07178467802696334,0.002534815538724644,0.008875565743842947,-0.008581724896164183,0.004899996259544848,0.0027180552162228144,0.0022763341402029513,-0.0003970193012460266,-0.00044351111182357184
A5,step-100,mediaspeech_clean,493,0.14246994231704774,0.08334825224902655,-0.02008478699006186,-0.01256545674260394,0.0042393495030926265,0.0065568634471646625,-6.949753283758131e-05,-0.0004028107237165901,-0.0011814580582389378,-0.0010070268092914891
A5,step-100,mediaspeech_phone,493,0.15796789213982904,0.09524235778543616,-0.017721870873583984,-0.016101239761894107,-0.012857043574953098,-0.010059078906145102,0.0006254777955382596,0.0006042160855749129,-0.0004169851970255156,-0.0007832430738933804
A5,step-100,mediaspeech_g711,493,0.14865522273959275,0.08862954840442197,0.002918896379178554,0.005012755672917701,0.0097296545972618,0.011502483999462923,0.001528945722426872,0.0013091348520789525,0.0047953297657933325,0.0039385937430067575
A5,step-100,cv_scripted,9650,0.2224031493245057,0.10152475464826244,0.06679788852107008,0.045632902194448474,0.06871253466941041,0.041958187140573415,-0.012919388028988094,-0.0025892060064834077,-0.0024872506039187448,0.0021739839664975114
A5,step-100,fleurs,743,0.07020112506742698,0.02110091743119266,-0.03267319103028435,-0.0014178482068390313,-0.10672728673807505,-0.025187656380316926,0.0001541188256145437,1.1914690813775997e-05,-0.00015411882561455759,-9.531752651018716e-05
A5,step-100,cv_spontaneous,11,0.2111801242236025,0.15711252653927812,-0.0496894409937888,-0.04352441613588112,-0.0248447204968944,-0.03927813163481955,-0.0248447204968944,-0.0031847133757961776,-0.018633540372670787,-0.002123142250530785
A5,step-100,tsc_exploratory,3484,0.16479354996335208,0.07144803706256712,0.001832396774981676,0.008538924779446733,-0.009284143659907151,0.004563355295148633,0.0020156364524798465,0.0019396931758067365,-0.0010994380649889945,-0.0007801520762197867
A5,step-150,mediaspeech_clean,493,0.14962818819931892,0.09141565591012846,-0.012926541107790679,-0.004498053081502029,0.011397595385363807,0.014624267108266573,0.007088748349433599,0.00766459293738532,0.0059767878240322425,0.007060376851810421
A5,step-150,mediaspeech_phone,493,0.1612342761831955,0.09962851899923914,-0.014455486830217523,-0.011715078548091132,-0.009590659531586637,-0.005672917692342128,0.00389186183890472,0.004990377299377888,0.0028493988463409448,0.0036029181399095944
A5,step-150,mediaspeech_g711,493,0.15011467092918201,0.09127019648211968,0.004378344568767817,0.007653403750615406,0.011189102786851063,0.014143132077160628,0.002988393912016135,0.003949782929776657,0.0062547779553825955,0.006579241820704462
A5,step-150,cv_scripted,9650,0.22739554442158003,0.10409913129617492,0.07179028361814441,0.04820727884236095,0.07370492976648474,0.04453256378848589,-0.007926992931913762,-1.4829358570930817e-05,0.0025051444931555866,0.004748360614409988
A5,step-150,fleurs,743,0.07004700624181244,0.021089002740378886,-0.03282730985589889,-0.0014297628976528073,-0.1068814055636896,-0.025199571071130702,0.0,0.0,-0.0003082376512291013,-0.00010723221732396315
A5,step-150,cv_spontaneous,11,0.20496894409937888,0.1592356687898089,-0.05590062111801242,-0.04140127388535034,-0.031055900621118016,-0.03715498938428877,-0.031055900621118016,-0.0010615711252653925,-0.0248447204968944,0.0
A5,step-150,tsc_exploratory,3484,0.16430491082335696,0.07095643438440123,0.0013437576349865643,0.00804732210128084,-0.009772782799902263,0.004071752616982741,0.0015269973124847347,0.0014480904976408443,-0.0015880772049841063,-0.0012717547543856789
A5,step-200,mediaspeech_clean,493,0.14955869066648134,0.09119187217473033,-0.01299603864062826,-0.004721836816900152,0.011328097852526225,0.01440048337286845,0.007019250816596018,0.007440809201987197,0.005907290291194661,0.006836593116412298
A5,step-200,mediaspeech_phone,493,0.16151226631454582,0.10005370809649555,-0.014177496698867198,-0.011289889450834714,-0.009312669400236312,-0.00524772859508571,0.004169851970255045,0.005415566396634305,0.00312738897769127,0.004028107237166012
A5,step-200,mediaspeech_g711,493,0.14990617833066927,0.09082262901132346,0.004169851970255073,0.007205836279819189,0.010980610188338319,0.01369556460636441,0.002779901313503391,0.00350221545898044,0.006046285356869852,0.006131674349908245
A5,step-200,cv_scripted,9650,0.22252840654916345,0.10437199149387992,0.06692314574572783,0.048480139040065956,0.06883779189406816,0.0448054239861909,-0.01279413080433034,0.0002580308391340741,-0.0023619933792609904,0.005021220812114993
A5,step-200,fleurs,743,0.07520998689989983,0.02549743834147504,-0.027664329197811505,0.002978672703443347,-0.1017184249056022,-0.020791135470034548,0.005162980658087388,0.004408435601096154,0.004854743006858286,0.004301203383772191
A5,step-200,cv_spontaneous,11,0.19254658385093168,0.15605095541401273,-0.06832298136645962,-0.044585987261146515,-0.043478260869565216,-0.040339702760084944,-0.043478260869565216,-0.00424628450106157,-0.0372670807453416,-0.0031847133757961776
A5,step-200,tsc_exploratory,3484,0.16201441485462986,0.06788926115323576,-0.0009467383337405377,0.004980148870115372,-0.012063278768629365,0.0010045793858172725,-0.0007634986562423673,-0.0016190827335246238,-0.0038785731737112084,-0.004338927985551147
