model,checkpoint,dataset,samples,normalized_wer,normalized_cer,wer_delta_vs_A0,cer_delta_vs_A0,wer_delta_vs_A2,cer_delta_vs_A2,wer_delta_vs_A3_step050,cer_delta_vs_A3_step050
A4,step-050,mediaspeech_phone,493,0.15838487733685455,0.09602560085932954,-0.017304885676558468,-0.015317996688000726,-0.012440058377927582,-0.009275835832251722,0.0010424629925637752,0.0013874591594682933
A4,step-050,mediaspeech_g711,493,0.14385989297379942,0.08469095466141521,-0.0018764333866147787,0.001074161929910944,0.004934324831468467,0.0075638902564561655,-0.0032663840433664604,-0.002629458890927805
A4,step-050,cv_scripted,9650,0.22489039992842444,0.09935077068176493,0.06928513912498882,0.04345891822795096,0.07119978527332915,0.039784203174075904,-0.010432137425069349,-0.004763189972980919
A4,step-050,fleurs,743,0.07035524389304154,0.02119623495770285,-0.03251907220466979,-0.0013225306803288442,-0.10657316791246049,-0.02509233885380674,0.0003082376512291013,0.00010723221732396315
A4,step-050,cv_spontaneous,11,0.22981366459627328,0.1592356687898089,-0.031055900621118016,-0.04140127388535034,-0.006211180124223614,-0.03715498938428877,-0.006211180124223614,-0.0010615711252653925
A4,step-050,tsc_exploratory,3484,0.16589298802834107,0.07222818913878691,0.0029318348399706706,0.00931907685566652,-0.008184705594918157,0.0053435073713684195,0.003115074517468841,0.002719845252026523
A4,step-100,mediaspeech_clean,493,0.1386475780109806,0.07959987468110817,-0.023907151296128998,-0.016313834310522315,0.00041698519702548786,0.0028084858792462863,-0.00389186183890472,-0.004151188291634966
A4,step-100,mediaspeech_phone,493,0.15852387240252971,0.09546614152083427,-0.017165890610883305,-0.015877456026495998,-0.01230106331225242,-0.009835295170746994,0.0011814580582389378,0.0008279998209730216
A4,step-100,mediaspeech_g711,493,0.1427479324483981,0.08343776574318579,-0.0029883939120161074,-0.0001790269883184814,0.0038223643060671386,0.00631070133822674,-0.004378344568767789,-0.0038826478091572303
A4,step-100,cv_scripted,9650,0.22338731323253108,0.09900969543463367,0.06778205242909546,0.04311784298081971,0.0696966985774358,0.03944312792694465,-0.011935224120962706,-0.005104265220112175
A4,step-100,fleurs,743,0.06981582800339062,0.021053258667937568,-0.033058488094320715,-0.001465506970094125,-0.10711258380211142,-0.02523531514357202,-0.0002311782384218225,-3.574407244131758e-05
A4,step-100,cv_spontaneous,11,0.22981366459627328,0.1592356687898089,-0.031055900621118016,-0.04140127388535034,-0.006211180124223614,-0.03715498938428877,-0.006211180124223614,-0.0010615711252653925
A4,step-100,tsc_exploratory,3484,0.16076227705839238,0.06685262072319029,-0.002198876129978017,0.0039435084400698955,-0.013315416564866844,-3.206104422820433e-05,-0.0020156364524798465,-0.0026557231635701006
A4,step-150,mediaspeech_clean,493,0.13857808047814302,0.07927538826478092,-0.02397664882896658,-0.016638320726849565,0.00034748766418790655,0.002483999462919037,-0.003961359371742301,-0.0044756747079622156
A4,step-150,mediaspeech_phone,493,0.15873236500104246,0.09543257396052456,-0.01695739801237056,-0.01591102358680571,-0.012092570713739675,-0.009868862731056707,0.0013899506567516817,0.0007944322606633081
A4,step-150,mediaspeech_g711,493,0.1412884842588088,0.08201673902340778,-0.004447842101605398,-0.0016000537080964883,0.002362916116477848,0.004889674618448733,-0.00583779275835708,-0.005303674528935237
A4,step-150,cv_scripted,9650,0.2415675046971459,0.10748912266548823,0.0859622438937103,0.05159727021167426,0.08787689004205063,0.0479225551577992,0.006244967343652125,0.00337516201074238
A4,step-150,fleurs,743,0.06966170917777606,0.021089002740378886,-0.03321260691993527,-0.0014297628976528073,-0.10726670262772597,-0.025199571071130702,-0.0003852970640363801,0.0
A4,step-150,cv_spontaneous,11,0.2360248447204969,0.1624203821656051,-0.0248447204968944,-0.03821656050955416,0.0,-0.03397027600849259,0.0,0.002123142250530785
A4,step-150,tsc_exploratory,3484,0.16271683361837283,0.06933735165087661,-0.00024431956999756976,0.006428239367756217,-0.011360860004886397,0.0024526698834581168,-6.107989249939938e-05,-0.00017099223588377954
A4,step-200,mediaspeech_clean,493,0.1386475780109806,0.07940965850601978,-0.023907151296128998,-0.01650405048561071,0.00041698519702548786,0.002618269704157891,-0.00389186183890472,-0.0043414044667233614
A4,step-200,mediaspeech_phone,493,0.1590798526652304,0.09588014143132077,-0.016609910348182627,-0.015463456116009494,-0.011745083049551741,-0.00942129526026049,0.001737438320939616,0.0012419997314595255
A4,step-200,mediaspeech_g711,493,0.1400375286677323,0.08087544197287741,-0.0056987976926818895,-0.0027413507586268593,0.0011119605254013565,0.0037483775679183623,-0.007088748349433571,-0.006444971579465608
A4,step-200,cv_scripted,9650,0.2320658495123915,0.10509269832042685,0.07646058870895589,0.049200845866612886,0.07837523485729622,0.045526130812737826,-0.0032566878411022793,0.0009787376656810037
A4,step-200,fleurs,743,0.06973876859058334,0.02110091743119266,-0.033135547507127994,-0.0014178482068390313,-0.1071896432149187,-0.025187656380316926,-0.0003082376512291013,1.1914690813775997e-05
A4,step-200,cv_spontaneous,11,0.2360248447204969,0.1624203821656051,-0.0248447204968944,-0.03821656050955416,0.0,-0.03397027600849259,0.0,0.002123142250530785
A4,step-200,tsc_exploratory,3484,0.16305277302711949,0.06970605365950103,9.161983874908519e-05,0.006796941376380636,-0.011024920596139742,0.002821371892082536,0.0002748595162472556,0.0001977097727406396
